name,latitude,longitude,category_name,venues
ParkShoppingSãoCaetano,-23.626249197876643,-46.57988219996115,Food,62
ParkShoppingSãoCaetano,-23.626249197876643,-46.57988219996115,Nightlife Spot,4
ParkShoppingSãoCaetano,-23.626249197876643,-46.57988219996115,Outdoors & Recreation,22
ParkShoppingSãoCaetano,-23.626249197876643,-46.57988219996115,Professional & Other Places,21
ParkShoppingSãoCaetano,-23.626249197876643,-46.57988219996115,Residence,5
ParkShoppingSãoCaetano,-23.626249197876643,-46.57988219996115,Shop & Service,78
ParkShoppingSãoCaetano,-23.626249197876643,-46.57988219996115,Travel & Transport,3
Shopping Interlar Aricanduva,-23.562385647524927,-46.50289730581876,Arts & Entertainment,5
Shopping Interlar Aricanduva,-23.562385647524927,-46.50289730581876,College & University,5
Shopping Interlar Aricanduva,-23.562385647524927,-46.50289730581876,Event,0
Shopping Interlar Aricanduva,-23.562385647524927,-46.50289730581876,Food,60
Shopping Interlar Aricanduva,-23.562385647524927,-46.50289730581876,Nightlife Spot,12
Shopping Interlar Aricanduva,-23.562385647524927,-46.50289730581876,Outdoors & Recreation,9
Shopping Interlar Aricanduva,-23.562385647524927,-46.50289730581876,Professional & Other Places,22
Shopping Interlar Aricanduva,-23.562385647524927,-46.50289730581876,Residence,2
Shopping Interlar Aricanduva,-23.562385647524927,-46.50289730581876,Shop & Service,71
Shopping Interlar Aricanduva,-23.562385647524927,-46.50289730581876,Travel & Transport,9
Shopping Metrô Tatuapé,-23.54158914979159,-46.57634285926117,Arts & Entertainment,19
Shopping Metrô Tatuapé,-23.54158914979159,-46.57634285926117,College & University,49
Shopping Metrô Tatuapé,-23.54158914979159,-46.57634285926117,Event,2
Shopping Metrô Tatuapé,-23.54158914979159,-46.57634285926117,Food,160
Shopping Metrô Tatuapé,-23.54158914979159,-46.57634285926117,Nightlife Spot,35
Shopping Metrô Tatuapé,-23.54158914979159,-46.57634285926117,Outdoors & Recreation,39
Shopping Metrô Tatuapé,-23.54158914979159,-46.57634285926117,Professional & Other Places,81
Shopping Metrô Tatuapé,-23.54158914979159,-46.57634285926117,Residence,17
Shopping Metrô Tatuapé,-23.54158914979159,-46.57634285926117,Shop & Service,91
Shopping Metrô Tatuapé,-23.54158914979159,-46.57634285926117,Travel & Transport,18
Shopping União de Osasco,-23.538374430579715,-46.76549831474179,Arts & Entertainment,7
Shopping União de Osasco,-23.538374430579715,-46.76549831474179,College & University,34
Shopping União de Osasco,-23.538374430579715,-46.76549831474179,Event,0
Shopping União de Osasco,-23.538374430579715,-46.76549831474179,Food,94
Shopping União de Osasco,-23.538374430579715,-46.76549831474179,Nightlife Spot,24
